Ligand,Affinity,Receptor
Ligand_0038.pdbqt,0.0,1NEN
Ligand_0039.pdbqt,0.0,1NEN
Ligand_0040.pdbqt,0.0,1NEN
Ligand_0089.pdbqt,0.0,1NEN
Ligand_0090.pdbqt,0.0,1NEN
Ligand_0091.pdbqt,0.0,1NEN
Ligand_0092.pdbqt,0.0,1NEN
Ligand_0093.pdbqt,0.0,1NEN
Ligand_0094.pdbqt,0.0,1NEN
Ligand_0095.pdbqt,0.0,1NEN
Ligand_0096.pdbqt,0.0,1NEN
Ligand_0081.pdbqt,0.0,1NEN
Ligand_0082.pdbqt,0.0,1NEN
Ligand_0083.pdbqt,0.0,1NEN
Ligand_0084.pdbqt,0.0,1NEN
Ligand_0085.pdbqt,0.0,1NEN
Ligand_0086.pdbqt,0.0,1NEN
Ligand_0087.pdbqt,0.0,1NEN
Ligand_0088.pdbqt,0.0,1NEN
Ligand_0073.pdbqt,0.0,1NEN
Ligand_0074.pdbqt,0.0,1NEN
Ligand_0075.pdbqt,0.0,1NEN
Ligand_0076.pdbqt,0.0,1NEN
Ligand_0077.pdbqt,0.0,1NEN
Ligand_0078.pdbqt,0.0,1NEN
Ligand_0079.pdbqt,0.0,1NEN
Ligand_0080.pdbqt,0.0,1NEN
Ligand_0065.pdbqt,0.0,1NEN
Ligand_0066.pdbqt,0.0,1NEN
Ligand_0067.pdbqt,0.0,1NEN
Ligand_0068.pdbqt,0.0,1NEN
Ligand_0069.pdbqt,0.0,1NEN
Ligand_0070.pdbqt,0.0,1NEN
Ligand_0071.pdbqt,0.0,1NEN
Ligand_0072.pdbqt,0.0,1NEN
Ligand_0122.pdbqt,0.0,1NEN
Ligand_0123.pdbqt,0.0,1NEN
Ligand_0124.pdbqt,0.0,1NEN
Ligand_0125.pdbqt,0.0,1NEN
Ligand_0126.pdbqt,0.0,1NEN
Ligand_0127.pdbqt,0.0,1NEN
Ligand_0128.pdbqt,0.0,1NEN
Ligand_0129.pdbqt,0.0,1NEN
Ligand_0114.pdbqt,0.0,1NEN
Ligand_0115.pdbqt,0.0,1NEN
Ligand_0116.pdbqt,0.0,1NEN
Ligand_0117.pdbqt,0.0,1NEN
Ligand_0118.pdbqt,0.0,1NEN
Ligand_0119.pdbqt,0.0,1NEN
Ligand_0120.pdbqt,0.0,1NEN
Ligand_0121.pdbqt,0.0,1NEN
Ligand_0106.pdbqt,0.0,1NEN
Ligand_0107.pdbqt,0.0,1NEN
Ligand_0108.pdbqt,0.0,1NEN
Ligand_0109.pdbqt,0.0,1NEN
Ligand_0110.pdbqt,0.0,1NEN
Ligand_0111.pdbqt,0.0,1NEN
Ligand_0112.pdbqt,0.0,1NEN
Ligand_0113.pdbqt,0.0,1NEN
Ligand_0097.pdbqt,0.0,1NEN
Ligand_0098.pdbqt,0.0,1NEN
Ligand_0099.pdbqt,0.0,1NEN
Ligand_0100.pdbqt,0.0,1NEN
Ligand_0101.pdbqt,0.0,1NEN
Ligand_0102.pdbqt,0.0,1NEN
Ligand_0103.pdbqt,0.0,1NEN
Ligand_0105.pdbqt,0.0,1NEN
Ligand_0154.pdbqt,0.0,1NEN
Ligand_0155.pdbqt,0.0,1NEN
Ligand_0156.pdbqt,0.0,1NEN
Ligand_0157.pdbqt,0.0,1NEN
Ligand_0158.pdbqt,0.0,1NEN
Ligand_0159.pdbqt,0.0,1NEN
Ligand_0160.pdbqt,0.0,1NEN
Ligand_0161.pdbqt,0.0,1NEN
Ligand_0146.pdbqt,0.0,1NEN
Ligand_0147.pdbqt,0.0,1NEN
Ligand_0148.pdbqt,0.0,1NEN
Ligand_0149.pdbqt,0.0,1NEN
Ligand_0150.pdbqt,0.0,1NEN
Ligand_0151.pdbqt,0.0,1NEN
Ligand_0152.pdbqt,0.0,1NEN
Ligand_0153.pdbqt,0.0,1NEN
Ligand_0138.pdbqt,0.0,1NEN
Ligand_0139.pdbqt,0.0,1NEN
Ligand_0140.pdbqt,0.0,1NEN
Ligand_0141.pdbqt,0.0,1NEN
Ligand_0142.pdbqt,0.0,1NEN
Ligand_0143.pdbqt,0.0,1NEN
Ligand_0144.pdbqt,0.0,1NEN
Ligand_0145.pdbqt,0.0,1NEN
Ligand_0130.pdbqt,0.0,1NEN
Ligand_0131.pdbqt,0.0,1NEN
Ligand_0132.pdbqt,0.0,1NEN
Ligand_0133.pdbqt,0.0,1NEN
Ligand_0134.pdbqt,0.0,1NEN
Ligand_0135.pdbqt,0.0,1NEN
Ligand_0136.pdbqt,0.0,1NEN
Ligand_0137.pdbqt,0.0,1NEN
Ligand_0186.pdbqt,0.0,1NEN
Ligand_0187.pdbqt,0.0,1NEN
Ligand_0188.pdbqt,0.0,1NEN
Ligand_0189.pdbqt,0.0,1NEN
Ligand_0190.pdbqt,0.0,1NEN
Ligand_0191.pdbqt,0.0,1NEN
Ligand_0192.pdbqt,0.0,1NEN
Ligand_0193.pdbqt,0.0,1NEN
Ligand_0178.pdbqt,0.0,1NEN
Ligand_0179.pdbqt,0.0,1NEN
Ligand_0180.pdbqt,0.0,1NEN
Ligand_0181.pdbqt,0.0,1NEN
Ligand_0182.pdbqt,0.0,1NEN
Ligand_0183.pdbqt,0.0,1NEN
Ligand_0184.pdbqt,0.0,1NEN
Ligand_0185.pdbqt,0.0,1NEN
Ligand_0170.pdbqt,0.0,1NEN
Ligand_0171.pdbqt,0.0,1NEN
Ligand_0172.pdbqt,0.0,1NEN
Ligand_0173.pdbqt,0.0,1NEN
Ligand_0174.pdbqt,0.0,1NEN
Ligand_0175.pdbqt,0.0,1NEN
Ligand_0176.pdbqt,0.0,1NEN
Ligand_0177.pdbqt,0.0,1NEN
Ligand_0162.pdbqt,0.0,1NEN
Ligand_0163.pdbqt,0.0,1NEN
Ligand_0164.pdbqt,0.0,1NEN
Ligand_0165.pdbqt,0.0,1NEN
Ligand_0166.pdbqt,0.0,1NEN
Ligand_0167.pdbqt,0.0,1NEN
Ligand_0168.pdbqt,0.0,1NEN
Ligand_0169.pdbqt,0.0,1NEN
Ligand_0218.pdbqt,0.0,1NEN
Ligand_0219.pdbqt,0.0,1NEN
Ligand_0220.pdbqt,0.0,1NEN
Ligand_0221.pdbqt,0.0,1NEN
Ligand_0222.pdbqt,0.0,1NEN
Ligand_0223.pdbqt,0.0,1NEN
Ligand_0224.pdbqt,0.0,1NEN
Ligand_0225.pdbqt,0.0,1NEN
Ligand_0210.pdbqt,0.0,1NEN
Ligand_0211.pdbqt,0.0,1NEN
Ligand_0212.pdbqt,0.0,1NEN
Ligand_0213.pdbqt,0.0,1NEN
Ligand_0214.pdbqt,0.0,1NEN
Ligand_0215.pdbqt,0.0,1NEN
Ligand_0216.pdbqt,0.0,1NEN
Ligand_0217.pdbqt,0.0,1NEN
Ligand_0202.pdbqt,0.0,1NEN
Ligand_0203.pdbqt,0.0,1NEN
Ligand_0204.pdbqt,0.0,1NEN
Ligand_0205.pdbqt,0.0,1NEN
Ligand_0206.pdbqt,0.0,1NEN
Ligand_0207.pdbqt,0.0,1NEN
Ligand_0208.pdbqt,0.0,1NEN
Ligand_0209.pdbqt,0.0,1NEN
Ligand_0194.pdbqt,0.0,1NEN
Ligand_0195.pdbqt,0.0,1NEN
Ligand_0196.pdbqt,0.0,1NEN
Ligand_0197.pdbqt,0.0,1NEN
Ligand_0198.pdbqt,0.0,1NEN
Ligand_0199.pdbqt,0.0,1NEN
Ligand_0200.pdbqt,0.0,1NEN
Ligand_0201.pdbqt,0.0,1NEN
Ligand_0250.pdbqt,0.0,1NEN
Ligand_0251.pdbqt,0.0,1NEN
Ligand_0252.pdbqt,0.0,1NEN
Ligand_0253.pdbqt,0.0,1NEN
Ligand_0254.pdbqt,0.0,1NEN
Ligand_0255.pdbqt,0.0,1NEN
Ligand_0256.pdbqt,0.0,1NEN
Ligand_0257.pdbqt,0.0,1NEN
Ligand_0242.pdbqt,0.0,1NEN
Ligand_0243.pdbqt,0.0,1NEN
Ligand_0244.pdbqt,0.0,1NEN
Ligand_0245.pdbqt,0.0,1NEN
Ligand_0246.pdbqt,0.0,1NEN
Ligand_0247.pdbqt,0.0,1NEN
Ligand_0248.pdbqt,0.0,1NEN
Ligand_0249.pdbqt,0.0,1NEN
Ligand_0234.pdbqt,0.0,1NEN
Ligand_0235.pdbqt,0.0,1NEN
Ligand_0236.pdbqt,0.0,1NEN
Ligand_0237.pdbqt,0.0,1NEN
Ligand_0238.pdbqt,0.0,1NEN
Ligand_0239.pdbqt,0.0,1NEN
Ligand_0240.pdbqt,0.0,1NEN
Ligand_0241.pdbqt,0.0,1NEN
Ligand_0226.pdbqt,0.0,1NEN
Ligand_0227.pdbqt,0.0,1NEN
Ligand_0228.pdbqt,0.0,1NEN
Ligand_0229.pdbqt,0.0,1NEN
Ligand_0230.pdbqt,0.0,1NEN
Ligand_0231.pdbqt,0.0,1NEN
Ligand_0232.pdbqt,0.0,1NEN
Ligand_0233.pdbqt,0.0,1NEN
Ligand_0250.pdbqt,0.0,2H89
Ligand_0251.pdbqt,0.0,2H89
Ligand_0252.pdbqt,0.0,2H89
Ligand_0253.pdbqt,0.0,2H89
Ligand_0254.pdbqt,0.0,2H89
Ligand_0255.pdbqt,0.0,2H89
Ligand_0256.pdbqt,0.0,2H89
Ligand_0257.pdbqt,0.0,2H89
Ligand_0242.pdbqt,0.0,2H89
Ligand_0243.pdbqt,0.0,2H89
Ligand_0244.pdbqt,0.0,2H89
Ligand_0245.pdbqt,0.0,2H89
Ligand_0246.pdbqt,0.0,2H89
Ligand_0247.pdbqt,0.0,2H89
Ligand_0248.pdbqt,0.0,2H89
Ligand_0249.pdbqt,0.0,2H89
Ligand_0234.pdbqt,0.0,2H89
Ligand_0235.pdbqt,0.0,2H89
Ligand_0236.pdbqt,0.0,2H89
Ligand_0237.pdbqt,0.0,2H89
Ligand_0238.pdbqt,0.0,2H89
Ligand_0239.pdbqt,0.0,2H89
Ligand_0240.pdbqt,0.0,2H89
Ligand_0241.pdbqt,0.0,2H89
Ligand_0226.pdbqt,0.0,2H89
Ligand_0227.pdbqt,0.0,2H89
Ligand_0228.pdbqt,0.0,2H89
Ligand_0229.pdbqt,0.0,2H89
Ligand_0230.pdbqt,0.0,2H89
Ligand_0231.pdbqt,0.0,2H89
Ligand_0232.pdbqt,0.0,2H89
Ligand_0233.pdbqt,0.0,2H89
Ligand_0218.pdbqt,0.0,2H89
Ligand_0219.pdbqt,0.0,2H89
Ligand_0220.pdbqt,0.0,2H89
Ligand_0221.pdbqt,0.0,2H89
Ligand_0222.pdbqt,0.0,2H89
Ligand_0223.pdbqt,0.0,2H89
Ligand_0224.pdbqt,0.0,2H89
Ligand_0225.pdbqt,0.0,2H89
Ligand_0210.pdbqt,0.0,2H89
Ligand_0211.pdbqt,0.0,2H89
Ligand_0212.pdbqt,0.0,2H89
Ligand_0213.pdbqt,0.0,2H89
Ligand_0214.pdbqt,0.0,2H89
Ligand_0215.pdbqt,0.0,2H89
Ligand_0216.pdbqt,0.0,2H89
Ligand_0217.pdbqt,0.0,2H89
Ligand_0202.pdbqt,0.0,2H89
Ligand_0203.pdbqt,0.0,2H89
Ligand_0204.pdbqt,0.0,2H89
Ligand_0205.pdbqt,0.0,2H89
Ligand_0206.pdbqt,0.0,2H89
Ligand_0207.pdbqt,0.0,2H89
Ligand_0208.pdbqt,0.0,2H89
Ligand_0209.pdbqt,0.0,2H89
Ligand_0194.pdbqt,0.0,2H89
Ligand_0195.pdbqt,0.0,2H89
Ligand_0196.pdbqt,0.0,2H89
Ligand_0197.pdbqt,0.0,2H89
Ligand_0198.pdbqt,0.0,2H89
Ligand_0199.pdbqt,0.0,2H89
Ligand_0200.pdbqt,0.0,2H89
Ligand_0201.pdbqt,0.0,2H89
Ligand_0186.pdbqt,0.0,2H89
Ligand_0187.pdbqt,0.0,2H89
Ligand_0188.pdbqt,0.0,2H89
Ligand_0189.pdbqt,0.0,2H89
Ligand_0190.pdbqt,0.0,2H89
Ligand_0191.pdbqt,0.0,2H89
Ligand_0192.pdbqt,0.0,2H89
Ligand_0193.pdbqt,0.0,2H89
Ligand_0178.pdbqt,0.0,2H89
Ligand_0179.pdbqt,0.0,2H89
Ligand_0180.pdbqt,0.0,2H89
Ligand_0181.pdbqt,0.0,2H89
Ligand_0182.pdbqt,0.0,2H89
Ligand_0183.pdbqt,0.0,2H89
Ligand_0184.pdbqt,0.0,2H89
Ligand_0185.pdbqt,0.0,2H89
Ligand_0170.pdbqt,0.0,2H89
Ligand_0171.pdbqt,0.0,2H89
Ligand_0172.pdbqt,0.0,2H89
Ligand_0173.pdbqt,0.0,2H89
Ligand_0174.pdbqt,0.0,2H89
Ligand_0175.pdbqt,0.0,2H89
Ligand_0176.pdbqt,0.0,2H89
Ligand_0177.pdbqt,0.0,2H89
Ligand_0162.pdbqt,0.0,2H89
Ligand_0163.pdbqt,0.0,2H89
Ligand_0164.pdbqt,0.0,2H89
Ligand_0165.pdbqt,0.0,2H89
Ligand_0166.pdbqt,0.0,2H89
Ligand_0167.pdbqt,0.0,2H89
Ligand_0168.pdbqt,0.0,2H89
Ligand_0169.pdbqt,0.0,2H89
Ligand_0154.pdbqt,0.0,2H89
Ligand_0155.pdbqt,0.0,2H89
Ligand_0156.pdbqt,0.0,2H89
Ligand_0157.pdbqt,0.0,2H89
Ligand_0158.pdbqt,0.0,2H89
Ligand_0159.pdbqt,0.0,2H89
Ligand_0160.pdbqt,0.0,2H89
Ligand_0161.pdbqt,0.0,2H89
Ligand_0146.pdbqt,0.0,2H89
Ligand_0147.pdbqt,0.0,2H89
Ligand_0148.pdbqt,0.0,2H89
Ligand_0149.pdbqt,0.0,2H89
Ligand_0150.pdbqt,0.0,2H89
Ligand_0151.pdbqt,0.0,2H89
Ligand_0152.pdbqt,0.0,2H89
Ligand_0153.pdbqt,0.0,2H89
Ligand_0138.pdbqt,0.0,2H89
Ligand_0139.pdbqt,0.0,2H89
Ligand_0140.pdbqt,0.0,2H89
Ligand_0141.pdbqt,0.0,2H89
Ligand_0142.pdbqt,0.0,2H89
Ligand_0143.pdbqt,0.0,2H89
Ligand_0144.pdbqt,0.0,2H89
Ligand_0145.pdbqt,0.0,2H89
Ligand_0130.pdbqt,0.0,2H89
Ligand_0131.pdbqt,0.0,2H89
Ligand_0132.pdbqt,0.0,2H89
Ligand_0133.pdbqt,0.0,2H89
Ligand_0134.pdbqt,0.0,2H89
Ligand_0135.pdbqt,0.0,2H89
Ligand_0136.pdbqt,0.0,2H89
Ligand_0137.pdbqt,0.0,2H89
Ligand_0122.pdbqt,0.0,2H89
Ligand_0123.pdbqt,0.0,2H89
Ligand_0124.pdbqt,0.0,2H89
Ligand_0125.pdbqt,0.0,2H89
Ligand_0126.pdbqt,0.0,2H89
Ligand_0127.pdbqt,0.0,2H89
Ligand_0128.pdbqt,0.0,2H89
Ligand_0129.pdbqt,0.0,2H89
Ligand_0114.pdbqt,0.0,2H89
Ligand_0115.pdbqt,0.0,2H89
Ligand_0116.pdbqt,0.0,2H89
Ligand_0117.pdbqt,0.0,2H89
Ligand_0118.pdbqt,0.0,2H89
Ligand_0119.pdbqt,0.0,2H89
Ligand_0120.pdbqt,0.0,2H89
Ligand_0121.pdbqt,0.0,2H89
Ligand_0106.pdbqt,0.0,2H89
Ligand_0107.pdbqt,0.0,2H89
Ligand_0108.pdbqt,0.0,2H89
Ligand_0109.pdbqt,0.0,2H89
Ligand_0110.pdbqt,0.0,2H89
Ligand_0111.pdbqt,0.0,2H89
Ligand_0112.pdbqt,0.0,2H89
Ligand_0113.pdbqt,0.0,2H89
Ligand_0097.pdbqt,0.0,2H89
Ligand_0098.pdbqt,0.0,2H89
Ligand_0099.pdbqt,0.0,2H89
Ligand_0100.pdbqt,0.0,2H89
Ligand_0101.pdbqt,0.0,2H89
Ligand_0102.pdbqt,0.0,2H89
Ligand_0103.pdbqt,0.0,2H89
Ligand_0105.pdbqt,0.0,2H89
Ligand_0089.pdbqt,0.0,2H89
Ligand_0090.pdbqt,0.0,2H89
Ligand_0091.pdbqt,0.0,2H89
Ligand_0092.pdbqt,0.0,2H89
Ligand_0093.pdbqt,0.0,2H89
Ligand_0094.pdbqt,0.0,2H89
Ligand_0095.pdbqt,0.0,2H89
Ligand_0096.pdbqt,0.0,2H89
Ligand_0081.pdbqt,0.0,2H89
Ligand_0082.pdbqt,0.0,2H89
Ligand_0083.pdbqt,0.0,2H89
Ligand_0084.pdbqt,0.0,2H89
Ligand_0085.pdbqt,0.0,2H89
Ligand_0086.pdbqt,0.0,2H89
Ligand_0087.pdbqt,0.0,2H89
Ligand_0088.pdbqt,0.0,2H89
Ligand_0073.pdbqt,0.0,2H89
Ligand_0074.pdbqt,0.0,2H89
Ligand_0075.pdbqt,0.0,2H89
Ligand_0076.pdbqt,0.0,2H89
Ligand_0077.pdbqt,0.0,2H89
Ligand_0078.pdbqt,0.0,2H89
Ligand_0079.pdbqt,0.0,2H89
Ligand_0080.pdbqt,0.0,2H89
Ligand_0065.pdbqt,0.0,2H89
Ligand_0066.pdbqt,0.0,2H89
Ligand_0067.pdbqt,0.0,2H89
Ligand_0068.pdbqt,0.0,2H89
Ligand_0069.pdbqt,0.0,2H89
Ligand_0070.pdbqt,0.0,2H89
Ligand_0071.pdbqt,0.0,2H89
Ligand_0072.pdbqt,0.0,2H89
Ligand_0057.pdbqt,0.0,2H89
Ligand_0058.pdbqt,0.0,2H89
Ligand_0059.pdbqt,0.0,2H89
Ligand_0060.pdbqt,0.0,2H89
Ligand_0061.pdbqt,0.0,2H89
Ligand_0062.pdbqt,0.0,2H89
Ligand_0063.pdbqt,0.0,2H89
Ligand_0064.pdbqt,0.0,2H89
Ligand_0049.pdbqt,0.0,2H89
Ligand_0050.pdbqt,0.0,2H89
Ligand_0051.pdbqt,0.0,2H89
Ligand_0052.pdbqt,0.0,2H89
Ligand_0053.pdbqt,0.0,2H89
Ligand_0054.pdbqt,0.0,2H89
Ligand_0055.pdbqt,0.0,2H89
Ligand_0056.pdbqt,0.0,2H89
Ligand_0041.pdbqt,0.0,2H89
Ligand_0042.pdbqt,0.0,2H89
Ligand_0043.pdbqt,0.0,2H89
Ligand_0044.pdbqt,0.0,2H89
Ligand_0045.pdbqt,0.0,2H89
Ligand_0046.pdbqt,0.0,2H89
Ligand_0047.pdbqt,0.0,2H89
Ligand_0048.pdbqt,0.0,2H89
Ligand_0033.pdbqt,0.0,2H89
Ligand_0034.pdbqt,0.0,2H89
Ligand_0035.pdbqt,0.0,2H89
Ligand_0036.pdbqt,0.0,2H89
Ligand_0037.pdbqt,0.0,2H89
Ligand_0038.pdbqt,0.0,2H89
Ligand_0039.pdbqt,0.0,2H89
Ligand_0040.pdbqt,0.0,2H89
Ligand_0025.pdbqt,0.0,2H89
Ligand_0026.pdbqt,0.0,2H89
Ligand_0027.pdbqt,0.0,2H89
Ligand_0028.pdbqt,0.0,2H89
Ligand_0029.pdbqt,0.0,2H89
Ligand_0030.pdbqt,0.0,2H89
Ligand_0031.pdbqt,0.0,2H89
Ligand_0032.pdbqt,0.0,2H89
Ligand_0017.pdbqt,0.0,2H89
Ligand_0018.pdbqt,0.0,2H89
Ligand_0019.pdbqt,0.0,2H89
Ligand_0020.pdbqt,0.0,2H89
Ligand_0021.pdbqt,0.0,2H89
Ligand_0022.pdbqt,0.0,2H89
Ligand_0023.pdbqt,0.0,2H89
Ligand_0024.pdbqt,0.0,2H89
Ligand_0009.pdbqt,0.0,2H89
Ligand_0010.pdbqt,0.0,2H89
Ligand_0011.pdbqt,0.0,2H89
Ligand_0012.pdbqt,0.0,2H89
Ligand_0013.pdbqt,0.0,2H89
Ligand_0014.pdbqt,0.0,2H89
Ligand_0015.pdbqt,0.0,2H89
Ligand_0016.pdbqt,0.0,2H89
Ligand_0001.pdbqt,0.0,2H89
Ligand_0002.pdbqt,0.0,2H89
Ligand_0003.pdbqt,0.0,2H89
Ligand_0004.pdbqt,0.0,2H89
Ligand_0005.pdbqt,0.0,2H89
Ligand_0006.pdbqt,0.0,2H89
Ligand_0007.pdbqt,0.0,2H89
Ligand_0008.pdbqt,0.0,2H89
